plot40
1415687_a_at
1415801_at
1416157_at
1416239_at
1416385_a_at
1416504_at
1416515_at
1416657_at
1416703_at
1416925_at
1417228_at
1417816_s_at
1418078_at
1418187_at
1418257_at
1418279_a_at
1418300_a_at
1419277_at
1419649_s_at
1420947_at
1420998_at
1421063_s_at
1421197_a_at
1421924_at
1421972_s_at
1422055_at
1422185_a_at
1422326_at
1422450_at
1422844_a_at
1422854_at
1423917_a_at
1423957_at
1424117_at
1424429_s_at
1425136_x_at
1426313_at
1426538_a_at
1426596_a_at
1426653_at
