EnsemblID,GeneName,ID
ENSMUSG00000032097,Ddx6,1439122_at
ENSMUSG00000032097,Ddx6,1424598_at
ENSMUSG00000075704,Txnrd2,1451936_a_at
ENSMUSG00000075704,Txnrd2,1449097_at
ENSMUSG00000075704,Txnrd2,1429972_s_at
ENSMUSG00000026288,Inpp5d,1424195_a_at
ENSMUSG00000026288,Inpp5d,1418110_a_at
ENSMUSG00000090258,Churc1,1425455_a_at
ENSMUSG00000033373,Fntb,1434309_at
ENSMUSG00000033373,Fntb,1425455_a_at
ENSMUSG00000037300,Ttc13,1451351_at
ENSMUSG00000037300,Ttc13,1437709_x_at
ENSMUSG00000037300,Ttc13,1438631_x_at
ENSMUSG00000021483,Cdk20,1422494_s_at
ENSMUSG00000024959,Bad,1416583_at
ENSMUSG00000024959,Bad,1416582_a_at
ENSMUSG00000032175,Tyk2,1417306_at
ENSMUSG00000042808,Gpx2,1449279_at
ENSMUSG00000021062,Rab15,1417829_a_at
ENSMUSG00000024960,Plcb3,1448661_at
ENSMUSG00000047671,Dynlt4,1436653_at
ENSMUSG00000070902,Zfp352,1425880_x_at
ENSMUSG00000070902,Zfp352,1425879_at
ENSMUSG00000070687,Htr1d,1422290_at
ENSMUSG00000070687,Htr1d,1440166_x_at
ENSMUSG00000070687,Htr1d,1440741_at
ENSMUSG00000022428,Cby1,1451305_at
ENSMUSG00000032846,Zswim6,1434967_at
ENSMUSG00000032846,Zswim6,1451819_at
ENSMUSG00000022427,Tomm22,1429103_at
ENSMUSG00000022427,Tomm22,1434420_x_at
ENSMUSG00000064637,Snora20,1448122_at
ENSMUSG00000001089,Luzp1,1416469_at
ENSMUSG00000001089,Luzp1,1448352_at
ENSMUSG00000027599,Armc1,1415719_s_at
ENSMUSG00000027599,Armc1,1446369_at
ENSMUSG00000027599,Armc1,1451638_s_at
ENSMUSG00000059436,Max,1423501_at
ENSMUSG00000039109,F13a1,1448929_at
ENSMUSG00000022426,Josd1,1460676_at
ENSMUSG00000028149,Rap1gds1,1425266_a_at
ENSMUSG00000101932,Gm10074,1418656_at
ENSMUSG00000042535,Gtpbp1,1450022_at
ENSMUSG00000042535,Gtpbp1,1450023_at
ENSMUSG00000062480,Acat3,1425195_a_at
ENSMUSG00000084033,Gm7645,1417216_at
ENSMUSG00000038259,Gdf5,1419139_at
ENSMUSG00000029060,Mib2,1424862_s_at
ENSMUSG00000027581,Stmn3,1460181_at
ENSMUSG00000027581,Stmn3,1435113_x_at
ENSMUSG00000106169,Mir6948,1421197_a_at
ENSMUSG00000040822,1700123O20Rik,1416917_at
ENSMUSG00000109324,Prmt1,1452787_a_at
ENSMUSG00000027263,Tubgcp4,1446100_at
ENSMUSG00000027263,Tubgcp4,1433659_at
ENSMUSG00000027263,Tubgcp4,1433660_at
ENSMUSG00000024446,Rpp21,1449021_at
ENSMUSG00000074841,Cbx3-ps1,1439421_x_at
ENSMUSG00000074841,Cbx3-ps1,1448504_a_at
ENSMUSG00000055763,Rybp-ps,1421111_at
ENSMUSG00000022180,Slc7a8,1417929_at
ENSMUSG00000023832,Acat2,1435630_s_at
ENSMUSG00000023832,Acat2,1425195_a_at
ENSMUSG00000056612,Ppp1r14b,1445573_at
ENSMUSG00000056612,Ppp1r14b,1450914_at
ENSMUSG00000043068,Fam89a,1427356_at
ENSMUSG00000048015,Neurod4,1436694_s_at
ENSMUSG00000048015,Neurod4,1418054_at
ENSMUSG00000048015,Neurod4,1418055_at
ENSMUSG00000023050,Map3k12,1417115_at
ENSMUSG00000023050,Map3k12,1456565_s_at
ENSMUSG00000023050,Map3k12,1438908_at
